bps_name,count,percentOpen,percentClosed,acres
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,10810174,7,93,"2,399,859"
North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,7963128,22,78,"1,767,814"
Mediterranean California Mixed Evergreen Forest-Interior,4292487,0,100,"952,932"
North Pacific Hypermaritime Sitka Spruce Forest,4040772,13,87,"897,051"
Willamette Valley Upland Prairie and Savanna,4028177,99,1,"894,255"
North Pacific Oak Woodland,3444613,100,0,"764,704"
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,3105749,0,100,"689,476"
North Pacific Lowland Riparian Forest and Shrubland,2740997,0,100,"608,501"
North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,2329128,59,41,"517,066"
Mediterranean California Mixed Evergreen Forest-Coastal,2087249,0,100,"463,369"
East Cascades Oak-Ponderosa Pine Forest and Woodland,1180331,0,100,"262,033"
Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,1114051,0,100,"247,319"
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,951332,95,5,"211,196"
Mediterranean California Mesic Mixed Conifer Forest and Woodland,874047,0,100,"194,038"
Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,295225,95,5,"65,540"
North Pacific Swamp Systems,270386,100,0,"60,026"
California Montane Riparian Systems,172681,0,100,"38,335"
North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,156771,0,100,"34,803"
North Pacific Montane Riparian Woodland and Shrubland-Wet,156274,0,100,"34,693"
Mediterranean California Red Fir Forest,141337,57,43,"31,377"
California Northern Coastal Grassland,118229,0,100,"26,247"
California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,95857,100,0,"21,280"
Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,78157,100,0,"17,351"
Mediterranean California Mixed Oak Woodland,70540,84,16,"15,660"
North Pacific Montane Riparian Woodland and Shrubland-Dry,43907,0,100,"9,747"
California Coastal Redwood Forest,42789,0,100,"9,499"
North Pacific Broadleaf Landslide Forest and Shrubland,30283,100,0,"6,723"
Northern California Coastal Scrub,4295,0,100,953
Mediterranean California Sparsely Vegetated Systems,3232,0,100,718
